id_building,egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,geometry,path
"19",1013059/1013058/1013065/1013056/1013064/1013057/1013063/1013062/1013069/1013061/1013068/1013060/1013067/1013066/1013071/1013070/3131675/3131676/295009895/295094870,1946-1960/<1919/1919-1945/1991-2000,Residential/Administrative/Industrial,32437.47,vrai,2499715.77650067,1117414.13630285,384.621209928023,"466",vrai,false,0,Condensation boiler for single building/Solar thermal installation for multiple buildings/Boiler for multiple buildings/Not documented,Not documented,0,3219634.41970552,0,1489.92086219059,0,"74841","12367778","8216049","4151729",17055.7975212689,300902.330361674,96182.1059298554,1819020.50679577,963.88590762659,18,15.4373921270679,12,17,65,50,60,15,26054.1927710843,7096.51206721882,254412.621213878,9429.63501239142,7626.16250887752,19.9294131139081,2961.51483648881,0.07110295593336965/0.03024742681842943/0.029530663149746266/0.03512141976547493/0.032397717824478915/0.030104074084692796/0.04314917285472634/0.03681298202356719/0.043865936523409504/0.025459445511625906/0.0409415407551822/0.04957137532612747/0.03440465609679177/0.01625620000573411/0.05900398520599789/0.1188107457209209/0.09521488574787121/0.11637374924739816/0.05633762435849651/0.03529344304595889,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas/Oil/Other,Gas/Oil/Electricity/Wood (beech)/Other,Condensation boiler/Boiler/Central electrical boiler/Not documented,I/I/I/I/I/I/I/I/I/I/I/I/I/III/I/I/I/I/III/IX,0.0905334887475974,119.577886120588,870964.891542169,0.0018950921758078,6.64104475472342,14.0633069394439,831.320272993213,597.307315552023,7626.16250887752,2299689.7893012,0,Jonction,""
"20",1013264/1013267/1013265/1013266/1013268/1013263/1013262/1013261/1013260/1013259,<1919/1961-1970/1919-1945,Residential,13705.41,vrai,2499489.52454356,1117458.96645639,388.6,"466",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,1381622.4041376,0,636.894057600001,0,"74805","5408433","3295601","2112832",7595.37363786501,142897.72552972,45676.6292155825,752511.930645439,398.750669692946,18,15.5,12,17,65,50,60,15,11008.3614457831,2548.73887404838,64258.7512628141,4636.86567753461,2958.50796033039,20,1092.9730292599,0.055370835312478786/0.05672796362896111/0.10877383456605823/0.07742417045531655/0.037999592861505053/0.2645721652982289/0.10022392617221958/0.0948632693221144/0.09242043835244622/0.1116238040306711,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Gas,Oil/Gas,Boiler,I/I/I/I/I/I/I/I/I/I,0.0917497683753496,120.3,321499.196024096,0.00191235665332157,6.47316278754153,18.7000000000001,333.670122599759,238.001168121322,2958.50796033039,1010677.66433735,0,Jonction,""
"21",1013255/2039716/2037939/2037962/295081225/295104631/295102970/295523531,<1919/1946-1960/1991-2000/1981-1990/>2010,Other/Residential/Administrative/Education,22425.09,false,2499441.21012191,1117382.05827446,385.207909792376,"466",vrai,false,0,Solar thermal installation for multiple buildings/Not documented,Not documented/No heat generator,0.0586156844855468,2061308.48102318,10349.1536645999,942.580588940934,21.9515153999998,"74792","14076899","10021137","4055762",17935.8895683997,0,0,142443.570321681,75.4798252972641,18,15.7139136565338,12,17,65,33.9,60,15,18012.1204819277,8005.34346982009,83843.2994499545,8995.79565681731,8940.09391158243,20.1169659519761,2023.00557659208,0.05938705262721353/0.5240326794675071/0.10226848587898643/0.09828723095425704/0.15842076887985732/0.03102061128851656/0.013312321154563928/0.013270849749097995,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Gas/Other,Oil/None/Gas/Other,Boiler/No heat generator/Not documented,XIII/XIII/I/III/IV/XI/VII/XIII,0.0841338114523717,109.56713598474,627407.987831325,0.00171463484427487,3.98287230954253,14.9276337578509,976.11326926719,876.659008899488,8940.09391158243,1385226.53662651,0,Jonction,""
"22",1013256/1013257/1013258,1919-1945,Residential,4667.67,vrai,2499570.7567243,1117461.03437151,393.3,"466",vrai,false,0,Boiler for multiple buildings,Not documented,0,497026.972495621,0,229.11724962,0,"74832","2586298","1427503","1158795",4162.24981959921,48666.871441513,15556.1513220453,256284.004879518,135.80305429795,18,15.5,12,17,65,50,60,15,3749.13253012048,751.32407849579,9166.8,2884.78591995285,1277.46389964636,20,372.235301204819,0.33612273361227335/0.3277545327754533/0.33612273361227335,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I/I,0.0969142088617703,120.3,109493.415542169,0.00202,7,22.59,135.262328554055,135.2624938814,1277.46389964636,344207.857590361,0,Jonction,""
"23",1013027/1013023/1013028/1013031/1013030/1013029/1013032/1013022/1013033/1013024/1013025/1013026/1013034/1013035/2039592,<1919/1946-1960/1919-1945/1981-1990/1961-1970,Residential/Healthcare,15777.45,vrai,2499593.31851992,1117342.90736434,389.149258601478,"466",vrai,false,0,Boiler for multiple buildings/Wood stove/Solar thermal installation for multiple buildings/Not documented,Not documented,0,1560911.27727282,0,717.730957942281,0,"74840","6669607","4220710","2448897",8988.51288515176,172332.237862402,55085.2415708703,895080.483144742,474.296722148872,18,15.5503978779841,12,17,65,50,60,15,12672.6506024096,3470.45223932941,151724.615062123,5094.47741672862,3894.03546842314,20.1119952844091,1377.16210556512,0.05411140583554377/0.05587975243147657/0.05234305923961096/0.028470380194518127/0.04986737400530503/0.040671971706454466/0.07014441497200118/0.05800176834659593/0.16693191865605658/0.0537577365163572/0.0519893899204244/0.08735632183908046/0.08576480990274093/0.08871205422929561/0.05599764220453876,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Gas/Other,Oil/Electricity/Gas/Other,Boiler/Central electrical boiler/Not documented,I/I/I/I/I/I/I/I/I/I/I/I/I/I/VIII,0.0909322184292431,120.036811081639,379677.784939759,0.00186818037135278,6.20200412614204,18.4892471033946,563.182723310808,291.646684408256,3894.03546842314,1148144.31084337,0,Jonction,""
"24",1013044/2038944/1013055/1013045/1013053/1013046/1013052/295095545,<1919/1919-1945,Residential/Other,6601.14,vrai,2499622.8582154,1117290.1268668,386.119953840795,"466",vrai,false,0,Wood stove/Not documented/Solar thermal installation for multiple buildings,Not documented,0,631643.03636172,0,289.583129732409,0,"74847","3344248","2050800","1293448",4522.29619918946,61854.7380562496,19771.5948588327,342745.412620993,181.618333545333,18,15.5793744716822,12,17,65,50,60,15,5302.12048192771,1444.33807242298,33287.4293114177,2779.90569824012,1742.39050094934,19.8236122851507,545.965490533563,0.1217244294167371/0.08819385742462665/0.12087912087912088/0.11496196111580727/0.12341504649196958/0.11665257819103972/0.30008453085376163/0.014088475626937165,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Other/Gas,Electricity/Other/Gas/Oil,Central electrical boiler/Not documented/Boiler,I/X/I/I/I/I/I/II,0.0819358179597238,119.423902507749,152411.413349398,0.00179941673710904,5.59087066779367,14.6299538407947,267.636878772523,173.239932567798,1742.39050094934,478520.568578313,0,Jonction,""
"25",1013077/1013078/1013080/1013081/1013079/1013072/1013073/1013074/1013075/1013076/2038396,<1919/1961-1970/1919-1945/1946-1960,Residential/Administrative,22033.56,vrai,2499733.35141416,1117455.12311177,386.697468599394,"466",vrai,false,0,Solar thermal installation for multiple buildings/Condensation boiler for single building/Heat pump for single building,Not documented,0,2207074.32261294,0,1033.30977382514,0,"74848","8220672","5104203","3116469",12004.5174403036,189531.228019578,60582.8230990547,1244797.83869006,659.60943819755,18,15.275687995948,12,17,65,50,60,15,17697.6385542169,4075.62672559069,89482.8843743102,7397.43846608829,4607.07897421536,20,2185.00236374068,0.06647813607968936/0.050650008441668073/0.1688333614722269/0.13878102313017052/0.14283302380550397/0.0520006753334459/0.05698125949687658/0.084079014013169/0.029334796555799424/0.03748100624683438/0.1725476954246159,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Gas/Not determined,Oil/Gas,Boiler,I/I/I/I/I/I/I/I/I/I/III,0.0989271137322871,119.237106196184,622517.095421687,0.00194790224548371,7.28448421408068,17.0374685993939,443.157710328453,399.878440288901,4607.07897421536,1521086.45686747,0,Jonction,""
"26",1013049/1013051/1013047/1013050/1013054/1013048,1981-1990/<1919,Residential,10185.36,vrai,2499698.95728753,1117279.2626996,391.698631765465,"466",vrai,false,0,Boiler for multiple buildings/Solar thermal installation for multiple buildings,Not documented,0,881820.656318579,0,406.49770458,0,"74862","3977780","2223549","1754231",5484.94523900073,106196.36900327,33945.2020878716,559239.374664372,296.336929800987,18,15.5,12,17,65,50,60,15,8181.01204819277,1705.77330034722,23879.438852304,3443.73585451789,2041.20938448284,20,812.257624784854,0.12399561723886048/0.2173119065010957/0.1446311176040906/0.23666910153396642/0.1508400292184076/0.12655222790357928,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas/Oil,Gas/Oil,Boiler,I/I/I/I/I/I,0.0787973343068769,120.3,238926.45686747,0.00164238677867056,7.32870708546383,19.5486317654654,195.377057055065,167.949530295196,2041.20938448284,751098.716144578,0,Jonction,""
"27",1013040/1013036/1013037/2038945/1013039/1013038/1013043/1013041/1013042/295094775/295097005,1919-1945/1981-1990/<1919/1946-1960/1961-1970,Residential/Industrial/Administrative,20829.21,vrai,2499663.0631475,1117343.2810814,386.19964621918,"466",vrai,false,0,Solar thermal installation for multiple buildings/Not documented,Not documented,0,2117861.80277776,0,981.939001050691,0,"74855","7612864","5183294","2429570",10634.692495943,170972.468544663,54650.59729144,1155979.04339999,612.544996212084,18,15.3982854846631,12,17,65,50,60,15,16730.2891566265,4220.45999549121,80558.7208154117,5788.76940999537,4845.92308594766,19.842300308077,2129.82316408491,0.07032191811403311/0.12939232932982095/0.12403446890208508/0.07581372505246238/0.05804348796713845/0.05871322052060543/0.13658079207036655/0.11907844800642943/0.09215519935705675/0.0030361209090503188/0.13283028977095146,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Gas/Other,Oil/Electricity/Other/Gas,Boiler/Central electrical boiler/Not documented,I/I/I/IX/I/I/I/I/I/IX/III,0.0926628050360639,118.867525114971,629498.033228916,0.00194817118364067,6.00683127204533,14.4211280737199,454.647445666815,348.223686284927,4845.92308594766,1420210.43701205,0,Jonction,""
