id_building,egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,geometry,path
"38","1032593",1981-1990,Residential,306.9,vrai,2501459.09519728,1114375.06137309,420.022352240393,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,24590.5883783999,0,11.3356584,0,"59412","365401","241054","124347",441.412410805943,2710.46462375116,866.388090937713,11540.9190361446,6.11545014387688,18,15.5,12,17,65,50,60,15,246.506024096386,153.16528828893,318.2,224.183334627787,217.229076178157,20,16.7624096385542,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682844,119.399999999998,6419.01686746988,0.00152,3,5.8523522403928,54.3796220758329,54.3806190315418,217.229076178157,37422.0795180723,0,Vessy,""
"39","1032590",1961-1970,Residential,193.44,vrai,2501468.8206986,1114422.659,420.159063769636,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,20598.04946784,0,9.49519584,0,"59414","354201","248673","105528",441.595192127038,1708.41406589014,546.087039139895,7274.27624096385,3.8545867573527,18,15.5,12,17,65,50,60,15,155.373493975904,151.640981491858,220.239205070146,220.233523640867,221.361668486171,20,10.5653975903614,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0946438296841612,119.399999999997,4045.92578313253,0.00202,2,5.93906376963588,54.2004388275787,54.1994822072258,221.361668486171,23587.2501204819,0,Vessy,""
"40","1032569",1971-1980,Residential,276.21,vrai,2501475.41326977,1114483.77354362,419.598826644282,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,30430.8531182699,0,14.02787727,0,"59415","363646","230265","133381",409.860943249122,2439.41816137892,779.74928184486,10386.8271325301,5.50390512948919,18,15.5,12,17,65,50,60,15,221.855421686747,142.488075520038,300.5,208.709478733388,201.151464515733,20,15.0861686746988,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0979235663563909,119.399999999998,5777.11518072289,0.00209,3,5.91882664428186,50.7763848672136,55.2317613353028,201.151464515733,33679.8715662651,0,Vessy,""
"41","1032567",1981-1990,Residential,301.32,vrai,2501454.87549558,1114495.25276782,419.468905476656,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,24143.4867715199,0,11.12955552,0,"59416","374028","256772","117256",465.280001526919,2661.18344877438,850.635580193557,11331.0841445783,6.00426014126093,18,15.5,12,17,65,50,60,15,242.024096385542,171.917838009798,236.842008008903,236.830742368002,228.449259158917,20,16.4576385542169,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682843,119.399999999998,6302.30746987952,0.00152,3,6.17890547665581,57.431966956159,57.4301437140098,228.449259158917,36741.6780722892,0,Vessy,""
"42","1032571",1981-1990,Residential,193.44,vrai,2501500.0662494,1114467.07977728,420.400105678874,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,15499.52237184,0,7.14489984,0,"59431","363656","224512","139144",437.326363172079,1708.41406589014,546.087039139895,7274.27624096385,3.8545867573527,18,15.5,12,17,65,50,60,15,155.373493975904,140.94817933869,347.6,242.377282369863,194.949080802216,20,10.5653975903614,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682807,119.399999999997,4045.92578313253,0.00152,2,6.85010567887412,50.7458032815907,50.7464755127522,194.949080802216,23587.2501204819,0,Vessy,""
"43","1032595",1981-1990,Residential,290.16,vrai,2501502.08673917,1114342.53799904,421.195587630645,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,23249.2835577599,0,10.71734976,0,"59427","393895","234577","159318",464.696505073016,2562.62109882084,819.130558705248,10911.4143614458,5.78188013602905,18,15.5,12,17,65,50,60,15,233.060240963855,143.390010811265,360.3,260.71349565934,203.983009413676,20,15.8480963855422,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.071217139168284,119.399999999998,6068.8886746988,0.00152,3,6.6855876306451,53.8978300831871,56.4218167527806,203.983009413676,35380.8751807229,0,Vessy,""
"44","1032596",1981-1990,Residential,312.48,vrai,2501501.41996136,1114372.9010114,420.275198368635,"370",vrai,false,0,Solar thermal installation for multiple buildings,No heat generator,0,25037.6899852799,0,11.54176128,0,"59428","474204","317321","156883",538.734094994389,2759.74579872793,882.140601681868,11750.7539277108,6.22664014649282,18,15.5,12,17,65,50,60,15,250.987951807229,182.557137755349,424.7,260.417855116043,278.316239878346,20,17.0671807228916,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682845,119.399999999998,6535.72626506024,0.00152,3,6.3551983686354,66.8314693247919,75.8958384200158,278.316239878346,38102.4809638554,0,Vessy,""
"45","1032588",1981-1990,Residential,304.11,vrai,2501487.97135563,1114413.21827598,420.52710707138,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,24367.0375749599,0,11.23260696,0,"59429","361710","247671","114039",434.930633261185,2685.82403626277,858.511835565635,11436.0015903614,6.0598551425689,18,15.5,12,17,65,50,60,15,244.265060240964,149.712455175536,325.1,216.827746725753,218.102886535432,20,16.6100240963855,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0714525180380382,119.399999999998,6360.6621686747,0.00152,3,6.27710707138039,51.7908452868444,51.793108019682,218.102886535432,37081.8787951807,0,Vessy,""
"46","1032570",1971-1980,Residential,100.44,vrai,2501480.10990458,1114442.14766676,420.233021024765,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,11065.76477028,0,5.10104628,0,"59430","443989","302444","141545",517.512420727177,887.061149610626,283.545193403978,3777.02804819277,2.00142004708698,18,15.5,12,17,65,50,60,15,80.6746987951807,183.772292482708,263.087992650858,263.081104716462,254.431316010715,20,5.48587951807229,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0979235663563739,119.399999999994,2100.76915662651,0.00209,1,6.3930210247654,65.7307113027237,65.7296338880916,254.431316010715,12247.2260240964,0,Vessy,""
"47","1032598",1981-1990,Residential,276.21,vrai,2501538.85387406,1114397.41991431,420.548325566295,"370",vrai,false,0,Heat pump for single building,Not documented,0,22131.5295405599,0,10.20209256,0,"59447","363788","233263","130525",422.462736402087,2439.41816137892,779.74928184486,10386.8271325301,5.50390512948919,18,15.5,12,17,65,50,60,15,221.855421686747,148.883431140457,315.4,221.709471169694,200.753265232393,20,15.0861686746988,"1.0","['existing', 'existing']",Not determined,Not determined,Heat pump,II,0.0712171391682837,119.399999999998,5777.11518072289,0.00152,3,5.9483255662945,53.0166937137157,53.0182068267842,200.753265232393,33679.8715662651,0,Vessy,""
"48","1032597",1981-1990,Residential,440.82,vrai,2501517.17838893,1114412.71205672,419.995886985705,"370",vrai,false,0,Solar thermal installation for multiple buildings,No heat generator,0,35321.0269435199,0,16.28212752,0,"59448","412924","268815","144109",464.314492695423,3893.21282319366,1244.44834879743,16576.9564337349,8.78401020665951,18,15.5,12,17,65,50,60,15,354.072289156626,173.482454069476,338.7,236.982879262032,227.331613433391,20,24.0769156626506,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682863,119.399999999999,9220.04240963855,0.00152,3,5.6358869857051,60.0883377421816,60.5332766448154,227.331613433391,53751.7142168675,0,Vessy,""
"49","1032599",1981-1990,Residential,306.9,vrai,2501529.52428741,1114435.93053399,420.229757508816,"370",vrai,false,0,Solar thermal installation for multiple buildings,No heat generator,0,24590.5883783999,0,11.3356584,0,"59449","370761","242395","128366",431.552365227125,2710.46462375116,866.388090937713,11540.9190361446,6.11545014387688,18,15.5,12,17,65,50,60,15,246.506024096386,158.155453352609,215.228892943843,215.227442295005,216.32492293212,20,16.7624096385542,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682844,119.399999999998,6419.01686746988,0.00152,3,6.17975750881561,54.0047059429344,54.0044712009019,216.32492293212,37422.0795180723,0,Vessy,""
"50","1032572",1981-1990,Residential,304.11,vrai,2501550.52154941,1114448.81879193,420.62,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,24367.0375749599,0,11.23260696,0,"59465","408253","249125","159128",484.925852612164,2685.82403626277,858.511835565635,11436.0015903614,6.0598551425689,18,15.5,12,17,65,50,60,15,244.265060240964,154.498735984297,364.7,264.009303042712,220.916549569452,20,16.6100240963855,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0714525180380382,119.399999999998,6360.6621686747,0.00152,3,6.67000000000002,54.6720216789309,54.6729358652132,220.916549569452,37081.8787951807,0,Vessy,""
